Metric,Class,percent
AV,NETWORK,73.24220299976193
AV,ADJACENT_NETWORK,1.9869454805174191
AV,LOCAL,23.70049996032061
AV,PHYSICAL,1.0703515594000477
AC,LOW,95.09066740734862
AC,HIGH,4.909332592651377
PR,NONE,59.42087929529402
PR,LOW,30.93206888342195
PR,HIGH,9.647051821284025
UI,NONE,67.13852075232124
UI,REQUIRED,32.86147924767876
S,UNCHANGED,82.31886358225537
S,CHANGED,17.681136417744625
C,NONE,21.87326402666455
C,LOW,20.4705975716213
C,HIGH,57.65613840171415
I,NONE,31.120545988413618
I,LOW,19.712721212602176
I,HIGH,49.16673279898421
A,NONE,40.326164590111894
A,LOW,2.2200618998492185
A,HIGH,57.453773510038886
