Metric,Class,percent
AV,NETWORK,73.1437163262749
AV,ADJACENT_NETWORK,2.195213632376895
AV,LOCAL,23.532138829720587
AV,PHYSICAL,1.1289312116276156
AC,LOW,92.03107380027565
AC,HIGH,7.968926199724345
PR,NONE,66.56434030823205
PR,LOW,26.81242952011026
PR,HIGH,6.623230171657687
UI,NONE,64.28517729607819
UI,REQUIRED,35.71482270392181
S,UNCHANGED,83.35171031199098
S,CHANGED,16.648289688009022
C,NONE,21.787996491667712
C,LOW,19.226913920561334
C,HIGH,58.98508958777096
I,NONE,31.231675228668088
I,LOW,17.480265630873323
I,HIGH,51.288059140458586
A,NONE,38.80841999749405
A,LOW,2.6287432652549807
A,HIGH,58.56283673725097
