CollectionDate,Clarity,Ease,Confidence,Fatigue,FeedbackComment,FeedbackEmail
24/10/2025 10:28:04 PM,4,3,4,4,"Good and interesting choice!","REDACTED"
24/10/2025 10:30:32 PM,5,5,4,4,"",""
25/10/2025 2:13:43 AM,5,4,4,1,"",""
25/10/2025 10:27:38 AM,5,5,5,2,"",""
25/10/2025 3:19:13 PM,4,3,4,2,"","REDACTED"
26/10/2025 5:05:59 AM,4,4,4,2,"",""
28/10/2025 1:28:05 AM,5,4,4,2,"Very interesting survey.","REDACTED"
28/10/2025 3:19:19 AM,5,2,3,3,"",""
28/10/2025 12:32:56 PM,5,4,5,3,"It is difficult to know what 'without external knowledge' means really. Knowing how a computer works is essential to interpreting a CVE, but does that count as 'external knowledge'? When a CVE talks about being able to trigger something from a log, which is a userland process in Windows, is that external knowledge, or just knowing how computers work? I suspect this will cloud the results of the survey greatly, since different people consider different knowledge 'external' or not.","REDACTED"
28/10/2025 2:23:00 PM,5,4,5,3,"I was quite surprised to see how critical contextual knowledge of what products are used for which propose is for understanding the impact of CVEs from their textual descriptions.","REDACTED"
28/10/2025 10:33:09 PM,4,3,3,3,"",""
5/11/2025 1:54:40 AM,4,3,3,3,"",""
6/11/2025 12:59:09 PM,5,5,4,3,"It would be nice to see some indication of the progress, e.g. 'question 5 out of 25' in the header would be really good.","REDACTED"
