CollectedDate, CVEID, QuestionSetID, QIndex, JustificationValue,Explicitness, Inference, Completeness, Ambiguity, Contradiction,ExternalResources, JustificationComment
24/10/2025 12:30:16 PM,CVE-2023-22661,3bcb80ea-8143-4fcb-b3f6-f89921ce101c,0,5,2,4,1,1,1,"",""
24/10/2025 12:31:52 PM,CVE-2023-32877,3bcb80ea-8143-4fcb-b3f6-f89921ce101c,1,7,4,4,5,1,1,"",""
24/10/2025 12:33:19 PM,CVE-2023-22113,3bcb80ea-8143-4fcb-b3f6-f89921ce101c,2,7,4,5,5,1,1,"",""
24/10/2025 12:34:01 PM,CVE-2020-0529,3bcb80ea-8143-4fcb-b3f6-f89921ce101c,3,6,4,4,5,1,1,"",""
24/10/2025 1:11:44 PM,CVE-2022-20583,3bcb80ea-8143-4fcb-b3f6-f89921ce101c,4,7,5,4,5,1,1,"",""
24/10/2025 1:12:27 PM,CVE-2018-19164,3bcb80ea-8143-4fcb-b3f6-f89921ce101c,5,6,1,5,4,3,1,"",""
24/10/2025 1:16:02 PM,CVE-2021-25665,3bcb80ea-8143-4fcb-b3f6-f89921ce101c,6,5,1,2,3,5,1,"","Requires base knowledge of simcenter as a generic user-space application, which can be inferred"
24/10/2025 1:18:03 PM,CVE-2022-36464,3bcb80ea-8143-4fcb-b3f6-f89921ce101c,7,5,1,4,1,4,1,"","have to infer that setIPPortFilterRules must require some form of low or above requirements, Don't see why it couldn't be high in some cases."
24/10/2025 1:20:09 PM,CVE-2016-6188,3bcb80ea-8143-4fcb-b3f6-f89921ce101c,8,2,1,3,1,5,1,"SOGo","need SOGo knowledge, Don't see why it can't be None."
24/10/2025 1:25:27 PM,CVE-2023-6226,3bcb80ea-8143-4fcb-b3f6-f89921ce101c,9,6,3,5,4,1,1,"",""
24/10/2025 3:15:47 PM,CVE-2023-32877,3d177957-aa05-4312-a444-39f03cc18f0e,0,5,2,2,5,5,3,"",""
24/10/2025 9:29:45 PM,CVE-2022-20583,b8d11a60-f6b9-4679-8c12-d20f9aa83020,0,7,4,5,4,2,2,"",""
